Property Type,Price (Per Annum),Location,Bedrooms,Property Category,Price (Converted to Naira),Price(Float),District
flat / apartment,"₦20,000,000","Guzape District, Abuja",2,Apartment,"₦20,000,000.00","20,000,000.00",Guzape
terraced duplex,"₦15,000,000","Guzape, Guzape District, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Guzape
flat / apartment,"₦6,000,000","Guzape District, Abuja",2,Apartment,"₦6,000,000.00","6,000,000.00",Guzape
detached duplex,"₦60,000,000","Coza, Guzape District, Abuja",5,Duplex,"₦60,000,000.00","60,000,000.00",Guzape
semi-detached duplex,"₦40,000,000","Guzape District, Abuja",4,Duplex,"₦40,000,000.00","40,000,000.00",Guzape
detached bungalow,"₦12,000,000","Diplomatic Zone, Asokoro District, Abuja",3,Bungalow,"₦12,000,000.00","12,000,000.00",Asokoro
terraced duplex,"₦12,000,000","Jahi, Abuja",4,Duplex,"₦12,000,000.00","12,000,000.00",Jahi
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
flat / apartment,"₦8,000,000","Katampe Extension, Katampe, Abuja",3,Apartment,"₦8,000,000.00","8,000,000.00",Katampe
flat / apartment,"₦8,500,000","Near New Judges Quarters, Katampe (Main), Katampe, Abuja",3,Apartment,"₦8,500,000.00","8,500,000.00",Katampe
detached duplex,"₦30,000,000","Naf, Asokoro District, Abuja",5,Duplex,"₦30,000,000.00","30,000,000.00",Asokoro
terraced duplex,"₦25,000,000","Guzape District, Abuja",4,Duplex,"₦25,000,000.00","25,000,000.00",Guzape
detached duplex,"₦20,000,000","Guzape District, Abuja",4,Duplex,"₦20,000,000.00","20,000,000.00",Guzape
detached duplex,"₦25,000,000","Guzape Hills, Guzape District, Abuja",5,Duplex,"₦25,000,000.00","25,000,000.00",Guzape
terraced duplex,"₦18,000,000","Gilmore, Jahi, Abuja",4,Duplex,"₦18,000,000.00","18,000,000.00",Jahi
flat / apartment,"₦8,000,000","Gilmore, Jahi, Abuja",3,Apartment,"₦8,000,000.00","8,000,000.00",Jahi
flat / apartment,"₦8,500,000","Gilmore, Jahi, Abuja",3,Apartment,"₦8,500,000.00","8,500,000.00",Jahi
terraced duplex,"₦5,500,000","Lokogoma District, Abuja",2,Duplex,"₦5,500,000.00","5,500,000.00",Lokogoma
terraced duplex,"₦20,000,000","Guzape District, Abuja",5,Duplex,"₦20,000,000.00","20,000,000.00",Guzape
detached duplex,"₦150,000,000","Maitama District, Abuja",4,Duplex,"₦150,000,000.00","150,000,000.00",Maitama
terraced duplex,"₦35,000,000","Katampe Extension, Katampe, Abuja",4,Duplex,"₦35,000,000.00","35,000,000.00",Katampe
flat / apartment,"₦9,000,000","Gilmore, Jahi, Abuja",3,Apartment,"₦9,000,000.00","9,000,000.00",Jahi
terraced duplex,"₦35,000,000","Guzape District, Abuja",4,Duplex,"₦35,000,000.00","35,000,000.00",Guzape
semi-detached duplex,"₦16,000,000","Gilmore, Jahi, Abuja",4,Duplex,"₦16,000,000.00","16,000,000.00",Jahi
semi-detached duplex,"₦16,000,000","Jahi, Abuja",4,Duplex,"₦16,000,000.00","16,000,000.00",Jahi
semi-detached duplex,"₦16,000,000","Jahi, Abuja",4,Duplex,"₦16,000,000.00","16,000,000.00",Jahi
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
flat / apartment,"₦8,000,000","Katampe Extension, Katampe, Abuja",3,Apartment,"₦8,000,000.00","8,000,000.00",Katampe
flat / apartment,"₦22,000,000","Katampe Extension, Katampe, Abuja",3,Apartment,"₦22,000,000.00","22,000,000.00",Katampe
flat / apartment,"₦6,000,000","Katampe (Main), Katampe, Abuja",3,Apartment,"₦6,000,000.00","6,000,000.00",Katampe
flat / apartment,"₦4,200,000","News Engineering, Dawaki, Gwarinpa, Abuja",3,Apartment,"₦4,200,000.00","4,200,000.00",Gwarinpa
semi-detached duplex,"₦20,000,000","Admiralty Estate, Asokoro District, Abuja",4,Duplex,"₦20,000,000.00","20,000,000.00",Asokoro
semi-detached duplex,"₦120,000,000","Maitama District, Abuja",8,Duplex,"₦120,000,000.00","120,000,000.00",Maitama
semi-detached duplex,"₦30,000,000","Mabushi, Abuja",5,Duplex,"₦30,000,000.00","30,000,000.00",Mabushi
semi-detached duplex,"₦35,000,000","Maitama District, Abuja",3,Duplex,"₦35,000,000.00","35,000,000.00",Maitama
semi-detached duplex,"₦40,000,000","Off Ty Danjuma, Asokoro District, Abuja",4,Duplex,"₦40,000,000.00","40,000,000.00",Asokoro
flat / apartment,"₦10,000,000","Jahi, Abuja",3,Apartment,"₦10,000,000.00","10,000,000.00",Jahi
semi-detached duplex,"₦125,000,000","Maitama District, Abuja",4,Duplex,"₦125,000,000.00","125,000,000.00",Maitama
terraced duplex,"₦25,000,000","Mabushi, Abuja",5,Duplex,"₦25,000,000.00","25,000,000.00",Mabushi
flat / apartment,"₦7,000,000","Main, Wuye, Abuja",3,Apartment,"₦7,000,000.00","7,000,000.00",Wuye
terraced duplex,"₦23,500,000","Wuye, Abuja",5,Duplex,"₦23,500,000.00","23,500,000.00",Wuye
flat / apartment,"₦10,000,000","By Naval Quarters, Jahi, Abuja",2,Apartment,"₦10,000,000.00","10,000,000.00",Jahi
detached duplex,"₦80,000,000","Maitama District, Abuja",12,Duplex,"₦80,000,000.00","80,000,000.00",Maitama
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
terraced duplex,"₦12,500,000","Katampe Extension, Katampe, Abuja",4,Duplex,"₦12,500,000.00","12,500,000.00",Katampe
terraced duplex,"₦35,000,000","Katampe Extension, Katampe, Abuja",4,Duplex,"₦35,000,000.00","35,000,000.00",Katampe
flat / apartment,"₦8,000,000","Asokoro District, Abuja",1,Apartment,"₦8,000,000.00","8,000,000.00",Asokoro
terraced duplex,"₦8,000,000","Nnpc Estate, Life Camp, Abuja",4,Duplex,"₦8,000,000.00","8,000,000.00",Life Camp
flat / apartment,"₦30,000,000","Jabi, Abuja",3,Apartment,"₦30,000,000.00","30,000,000.00",Jabi
terraced duplex,"₦20,000,000","Wuye, Abuja",4,Duplex,"₦20,000,000.00","20,000,000.00",Wuye
detached bungalow,"₦8,500,000","Mabushi Zone B06, Mabushi, Abuja",3,Bungalow,"₦8,500,000.00","8,500,000.00",Mabushi
detached duplex,"₦40,000,000","Asokoro District, Abuja",6,Duplex,"₦40,000,000.00","40,000,000.00",Asokoro
flat / apartment,"₦180,000,000","Wuse 2, Abuja",3,Apartment,"₦180,000,000.00","180,000,000.00",Wuse
flat / apartment,"₦23,000,000","Asokoro Main, Asokoro District, Abuja",2,Apartment,"₦23,000,000.00","23,000,000.00",Asokoro
detached bungalow,"₦13,000,000","Life Camp, Abuja",3,Bungalow,"₦13,000,000.00","13,000,000.00",Life Camp
terraced duplex,"₦8,500,000","Wuse 2, Abuja",1,Duplex,"₦8,500,000.00","8,500,000.00",Wuse
detached duplex,"₦100,000,000","Maitama District, Abuja",4,Duplex,"₦100,000,000.00","100,000,000.00",Maitama
flat / apartment,"₦30,000,000","Jabi, Abuja",3,Apartment,"₦30,000,000.00","30,000,000.00",Jabi
flat / apartment,"$33,000","Jabi, Abuja",2,Apartment,"₦44,714,010.00","44,714,010.00",Jabi
flat / apartment,"$37,000","Jabi, Abuja",2,Apartment,"₦50,133,890.00","50,133,890.00",Jabi
mini flat (room and parlour),"₦2,000,000","Close To Julius Berger, Life Camp, Abuja",1,Apartment,"₦2,000,000.00","2,000,000.00",Life Camp
flat / apartment,"₦9,000,000","Jahi, Abuja",3,Apartment,"₦9,000,000.00","9,000,000.00",Jahi
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
terraced duplex,"₦25,000,000","Diplomatic Zones, Katampe Extension, Katampe, Abuja",6,Duplex,"₦25,000,000.00","25,000,000.00",Katampe
terraced duplex,"₦35,000,000","Katampe Extension, Katampe, Abuja",4,Duplex,"₦35,000,000.00","35,000,000.00",Katampe
flat / apartment,"₦20,000,000","Diplomatic Zone, Katampe Extension, Katampe, Abuja",3,Apartment,"₦20,000,000.00","20,000,000.00",Katampe
terraced duplex,"₦13,000,000","Katampe (Main), Katampe, Abuja",4,Duplex,"₦13,000,000.00","13,000,000.00",Katampe
flat / apartment,"₦8,000,000","Katampe (Main), Katampe, Abuja",3,Apartment,"₦8,000,000.00","8,000,000.00",Katampe
flat / apartment,"₦2,500,000","Dawaki, Gwarinpa, Abuja",1,Apartment,"₦2,500,000.00","2,500,000.00",Gwarinpa
flat / apartment,"₦4,000,000","Wuye, Abuja",1,Apartment,"₦4,000,000.00","4,000,000.00",Wuye
flat / apartment,"₦10,000,000","Wuye District, Wuye, Abuja",3,Apartment,"₦10,000,000.00","10,000,000.00",Wuye
flat / apartment,"₦20,000,000","Guzape District, Abuja",2,Apartment,"₦20,000,000.00","20,000,000.00",Guzape
flat / apartment,"₦7,500,000","Katampe Main, Katampe, Abuja",3,Apartment,"₦7,500,000.00","7,500,000.00",Katampe
semi-detached duplex,"₦70,000,000","Maitama District, Abuja",5,Duplex,"₦70,000,000.00","70,000,000.00",Maitama
flat / apartment,"₦20,000,000","Guzape Main, Guzape District, Abuja",2,Apartment,"₦20,000,000.00","20,000,000.00",Guzape
flat / apartment,"₦5,000,000","Katampe, Abuja",3,Apartment,"₦5,000,000.00","5,000,000.00",Katampe
terraced duplex,"₦20,000,000","Wuye, Abuja",5,Duplex,"₦20,000,000.00","20,000,000.00",Wuye
terraced duplex,"₦25,000,000","Naf Valley Estate, Asokoro District, Abuja",4,Duplex,"₦25,000,000.00","25,000,000.00",Asokoro
terraced duplex,"₦12,000,000","Guzape District, Abuja",4,Duplex,"₦12,000,000.00","12,000,000.00",Guzape
semi-detached duplex,"₦50,000,000","Maitama District, Abuja",4,Duplex,"₦50,000,000.00","50,000,000.00",Maitama
terraced duplex,"₦12,000,000","Jabi, Abuja",4,Duplex,"₦12,000,000.00","12,000,000.00",Jabi
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
detached duplex,"₦15,000,000","Katampe, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Katampe
flat / apartment,"₦7,000,000","Aiben Aco Road, Lugbe District, Abuja",2,Apartment,"₦7,000,000.00","7,000,000.00",Lugbe
detached bungalow,"₦5,000,000","Jahi, Abuja",2,Bungalow,"₦5,000,000.00","5,000,000.00",Jahi
detached bungalow,"₦13,000,000","Efab Estate, Gwarinpa, Abuja",3,Bungalow,"₦13,000,000.00","13,000,000.00",Gwarinpa
terraced duplex,"₦12,000,000","Jahi, Abuja",5,Duplex,"₦12,000,000.00","12,000,000.00",Jahi
terraced duplex,"₦15,000,000","Wuye District, Wuye, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Wuye
terraced duplex,"₦25,000,000","Utako, Abuja",4,Duplex,"₦25,000,000.00","25,000,000.00",Utako
flat / apartment,"₦35,000,000","Jabi, Abuja",3,Apartment,"₦35,000,000.00","35,000,000.00",Jabi
detached duplex,"₦350,000,000","Maitama District, Abuja",5,Duplex,"₦350,000,000.00","350,000,000.00",Maitama
flat / apartment,"₦20,000,000","Guzape District, Abuja",3,Apartment,"₦20,000,000.00","20,000,000.00",Guzape
terraced duplex,"₦15,000,000","Jahi By Gilmore, Jahi, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Jahi
flat / apartment,"₦6,000,000","Wuye, Abuja",1,Apartment,"₦6,000,000.00","6,000,000.00",Wuye
block of flats,"₦100,000,000","Serene, Guzape District, Abuja",3,Apartment,"₦100,000,000.00","100,000,000.00",Guzape
terraced duplex,"₦30,000,000","Asokoro District, Abuja",4,Duplex,"₦30,000,000.00","30,000,000.00",Asokoro
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
detached duplex,"₦25,000,000","Diplomatic Zone, Katampe Extension, Katampe, Abuja",6,Duplex,"₦25,000,000.00","25,000,000.00",Katampe
flat / apartment,"₦5,000,000","Dawaki, Gwarinpa, Abuja",3,Apartment,"₦5,000,000.00","5,000,000.00",Gwarinpa
flat / apartment,"₦200,000,000","Utako, Abuja",17,Apartment,"₦200,000,000.00","200,000,000.00",Utako
semi-detached duplex,"$100,000","Maitama District, Abuja",5,Duplex,"₦135,497,000.00","135,497,000.00",Maitama
flat / apartment,"₦60,000,000","Jahi, Abuja",3,Apartment,"₦60,000,000.00","60,000,000.00",Jahi
flat / apartment,"₦6,000,000","Gilmore Axis, Jahi, Abuja",2,Apartment,"₦6,000,000.00","6,000,000.00",Jahi
terraced duplex,"₦15,000,000","Wuse, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Wuse
terraced duplex,"₦20,000,000","Utako, Abuja",4,Duplex,"₦20,000,000.00","20,000,000.00",Utako
terraced duplex,"₦10,000,000","Asokoro District, Abuja",4,Duplex,"₦10,000,000.00","10,000,000.00",Asokoro
detached duplex,"₦30,000,000","Diplomatic Zone, Guzape District, Abuja",5,Duplex,"₦30,000,000.00","30,000,000.00",Guzape
flat / apartment,"₦6,000,000","Aduvie School, Jahi, Abuja",3,Apartment,"₦6,000,000.00","6,000,000.00",Jahi
terraced duplex,"₦12,000,000","Jabi, Abuja",4,Duplex,"₦12,000,000.00","12,000,000.00",Jabi
flat / apartment,"₦36,000,000","Maitama District, Abuja",3,Apartment,"₦36,000,000.00","36,000,000.00",Maitama
detached duplex,"₦4,500,000","Sangotedo, Ajah, Jahi, Abuja",4,Duplex,"₦4,500,000.00","4,500,000.00",Jahi
flat / apartment,"₦10,000,000","Wuye, Abuja",3,Apartment,"₦10,000,000.00","10,000,000.00",Wuye
terraced duplex,"₦14,500,000","Idu-karmo District After Nizamiyel Hospital, Karmo, Abuja",4,Duplex,"₦14,500,000.00","14,500,000.00",Idu
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
terraced duplex,"₦10,000,000","Old Secratariat, Area 1, Garki, Abuja",4,Duplex,"₦10,000,000.00","10,000,000.00",Garki
detached duplex,"₦55,000,000","Maitama District, Abuja",4,Duplex,"₦55,000,000.00","55,000,000.00",Maitama
semi-detached duplex,"₦80,000,000","Maitama District, Abuja",5,Duplex,"₦80,000,000.00","80,000,000.00",Maitama
detached duplex,"₦50,000,000","Maitama District, Abuja",4,Duplex,"₦50,000,000.00","50,000,000.00",Maitama
semi-detached duplex,"₦20,000,000","Wuye, Abuja",4,Duplex,"₦20,000,000.00","20,000,000.00",Wuye
terraced duplex,"₦16,000,000","Jahi, Abuja",4,Duplex,"₦16,000,000.00","16,000,000.00",Jahi
detached duplex,"₦80,000,000","Maitama District, Abuja",12,Duplex,"₦80,000,000.00","80,000,000.00",Maitama
terraced duplex,"₦40,000,000","Guzape District, Abuja",4,Duplex,"₦40,000,000.00","40,000,000.00",Guzape
terraced duplex,"₦25,000,000","Asokoro District, Abuja",4,Duplex,"₦25,000,000.00","25,000,000.00",Asokoro
terraced duplex,"₦25,000,000","Asokoro District, Abuja",4,Duplex,"₦25,000,000.00","25,000,000.00",Asokoro
flat / apartment,"₦10,000,000","Kado, Abuja",2,Apartment,"₦10,000,000.00","10,000,000.00",Kado
detached duplex,"₦400,000,000","Katampe, Jahi, Abuja",5,Duplex,"₦400,000,000.00","400,000,000.00",Jahi
detached duplex,"₦20,000,000","Life Camp, Abuja",4,Duplex,"₦20,000,000.00","20,000,000.00",Life Camp
flat / apartment,"₦7,500,000","Jahi, Abuja",3,Apartment,"₦7,500,000.00","7,500,000.00",Jahi
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
semi-detached duplex,"₦8,000,000","News Engineering, Dawaki, Gwarinpa, Abuja",4,Duplex,"₦8,000,000.00","8,000,000.00",Gwarinpa
semi-detached duplex,"₦15,000,000","Life Camp, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Life Camp
terraced duplex,"₦12,000,000","National Assembly Quarters, Apo, Abuja",4,Duplex,"₦12,000,000.00","12,000,000.00",Apo
detached duplex,"₦60,000,000","Maitama District, Abuja",6,Duplex,"₦60,000,000.00","60,000,000.00",Maitama
flat / apartment,"₦12,500,000","Off Aminut Kano, Wuse 2, Abuja",2,Apartment,"₦12,500,000.00","12,500,000.00",Wuse
flat / apartment,"₦17,000,000","Off Aminu Kano, Wuse 2, Abuja",2,Apartment,"₦17,000,000.00","17,000,000.00",Wuse
flat / apartment,"$35,000","Wuse 2, Abuja",3,Apartment,"₦47,423,950.00","47,423,950.00",Wuse
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
flat / apartment,"₦5,000,000","News Engineering, Dawaki, Gwarinpa, Abuja",3,Apartment,"₦5,000,000.00","5,000,000.00",Gwarinpa
detached duplex,"₦25,000,000","By Ecowas, Asokoro District, Abuja",4,Duplex,"₦25,000,000.00","25,000,000.00",Asokoro
terraced duplex,"₦20,000,000","Life Camp, Abuja",4,Duplex,"₦20,000,000.00","20,000,000.00",Life Camp
detached duplex,"$55,000","Jabi, Abuja",4,Duplex,"₦74,523,350.00","74,523,350.00",Jabi
terraced duplex,"₦20,000,000","Life Camp, Abuja",4,Duplex,"₦20,000,000.00","20,000,000.00",Life Camp
terraced duplex,"₦140,000,000","Utako, Abuja",2,Duplex,"₦140,000,000.00","140,000,000.00",Utako
flat / apartment,"₦4,000,000","By American International School, Durumi, Abuja",3,Apartment,"₦4,000,000.00","4,000,000.00",Durumi
semi-detached duplex,"₦7,000,000","Gwarinpa Extension, Gwarinpa, Abuja",4,Duplex,"₦7,000,000.00","7,000,000.00",Gwarinpa
semi-detached duplex,"₦25,000,000","Legislative Quarters., Apo, Abuja",5,Duplex,"₦25,000,000.00","25,000,000.00",Apo
flat / apartment,"₦8,000,000","Main, Wuye, Abuja",3,Apartment,"₦8,000,000.00","8,000,000.00",Wuye
terraced duplex,"₦15,000,000","By Gilmore, Jahi, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Jahi
detached duplex,"₦40,000,000","Jabi, Abuja",5,Duplex,"₦40,000,000.00","40,000,000.00",Jabi
detached duplex,"₦50,000,000","Wuse 2, Abuja",5,Duplex,"₦50,000,000.00","50,000,000.00",Wuse
detached bungalow,"₦12,000,000","Kado/jabi Lake, Jabi, Abuja",3,Bungalow,"₦12,000,000.00","12,000,000.00",Jabi
detached duplex,"₦25,000,000","Guzape District, Abuja",5,Duplex,"₦25,000,000.00","25,000,000.00",Guzape
terraced duplex,"₦120,000,000","Diplomatic Zone, Asokoro District, Abuja",7,Duplex,"₦120,000,000.00","120,000,000.00",Asokoro
flat / apartment,"₦13,000,000","American International School, Durumi, Abuja",3,Apartment,"₦13,000,000.00","13,000,000.00",Durumi
detached duplex,"₦15,000,000","By Utako, Wuye, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Wuye
terraced duplex,"₦13,000,000","By Vio, Mabushi, Abuja",4,Duplex,"₦13,000,000.00","13,000,000.00",Mabushi
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
flat / apartment,"₦15,000,000","Katampe Extension, Katampe, Abuja",3,Apartment,"₦15,000,000.00","15,000,000.00",Katampe
flat / apartment,"₦8,000,000","Katampe (Main), Katampe, Abuja",3,Apartment,"₦8,000,000.00","8,000,000.00",Katampe
block of flats,"₦260,000,000","By News Engineering, Opposite Gwarimpa Estate, Dawaki, Gwarinpa, Abuja",2,Apartment,"₦260,000,000.00","260,000,000.00",Gwarinpa
flat / apartment,"₦12,000,000","Jahi, Abuja",2,Apartment,"₦12,000,000.00","12,000,000.00",Jahi
terraced duplex,"$35,000","Maitama District, Abuja",3,Duplex,"₦47,423,950.00","47,423,950.00",Maitama
detached duplex,"₦180,000,000","Maitama District, Abuja",9,Duplex,"₦180,000,000.00","180,000,000.00",Maitama
flat / apartment,"₦6,000,000","Chris Oyakhilome Crescent, Durumi, Abuja",1,Apartment,"₦6,000,000.00","6,000,000.00",Durumi
detached duplex,"₦4,000,000","Wuye, Abuja",1,Duplex,"₦4,000,000.00","4,000,000.00",Wuye
detached bungalow,"₦3,000,000","Wuye, Abuja",1,Bungalow,"₦3,000,000.00","3,000,000.00",Wuye
detached duplex,"₦50,000,000","Wuse 2, Abuja",5,Duplex,"₦50,000,000.00","50,000,000.00",Wuse
detached bungalow,"₦9,000,000","Katampe, Abuja",3,Bungalow,"₦9,000,000.00","9,000,000.00",Katampe
terraced duplex,"$50,000","Jabi Lake, Jabi, Abuja",4,Duplex,"₦67,748,500.00","67,748,500.00",Jabi
terraced duplex,"₦8,500,000","Wuye, Abuja",3,Duplex,"₦8,500,000.00","8,500,000.00",Wuye
detached bungalow,"₦130,000,000","Diplomatic Zone, Guzape District, Abuja",3,Bungalow,"₦130,000,000.00","130,000,000.00",Guzape
terraced duplex,"₦100,000,000","Diplomatic Zone, Guzape District, Abuja",4,Duplex,"₦100,000,000.00","100,000,000.00",Guzape
detached bungalow,"$50,000","Diplomatic Zone, Maitama District, Abuja",3,Bungalow,"₦67,748,500.00","67,748,500.00",Maitama
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
semi-detached duplex,"₦30,000,000","Katampe Extension, Katampe, Abuja",5,Duplex,"₦30,000,000.00","30,000,000.00",Katampe
flat / apartment,"₦3,000,000","Dawaki, Gwarinpa, Abuja",2,Apartment,"₦3,000,000.00","3,000,000.00",Gwarinpa
flat / apartment,"₦3,500,000","Apo Resettlement, Apo, Abuja",2,Apartment,"₦3,500,000.00","3,500,000.00",Apo
terraced duplex,"₦5,000,000","Paradise Estate, Life Camp, Abuja",4,Duplex,"₦5,000,000.00","5,000,000.00",Life Camp
flat / apartment,"₦4,500,000","Gwarinpa, Abuja",2,Apartment,"₦4,500,000.00","4,500,000.00",Gwarinpa
semi-detached duplex,"₦20,000,000","Asokoro District, Abuja",4,Duplex,"₦20,000,000.00","20,000,000.00",Asokoro
